BugNum	Reproduced
cve_2016_5321	True
cve_2014_8128	True
EF02_02	True
EF02_03	True
EF02_04	True
EF02_05	False
EF03	False
cve_2016_5314	True
EF05	False
bugzilla_2633	True
cve_2016_10094	True
cve_2017_7601	True
cve_2016_3623	True
cve_2017_7595	True
EF11	True
cve_2018_10372	True
cve_2017_15025	True
EF14	False
cve_2016_1838	True
cve_2016_1839	True
cve_2012_5134	True
cve_2017_5969	True
EF19	True
cve_2018_19664	True
cve_2017_15232	True
cve_2012_2806	True
gnubug_26545	True
gnubug_25003	True
gnubug_25023	True
gnubug_19784	True
cve_2016_8691	True
cve_2016_9387	True
cve_2017_9992	True
bugzilla_1404	True
